Year,Sea.Level,CO2.Emission,Global.Temperature.Rise
1880,0,853707188,-0.2
1881,0.220472441,882407475,-0.12
1882,-0.440944881,931924710,-0.1
1883,-0.232283464,991035684,-0.21
1884,0.590551181,1002177745,-0.28
1885,0.531496062,1009674571,-0.32
1886,0.437007874,1025478884,-0.31
1887,0.216535433,1076761678,-0.33
1888,0.299212598,1192276070,-0.2
1889,0.362204724,1191804432,-0.12
1890,0.440944881,1298463581,-0.37
1891,0.374015748,1358879690,-0.24
1892,0.499999999,1370094534,-0.27
1893,0.685039369,1353675035,-0.3
1894,0.303149606,1400864597,-0.31
1895,0.767716535,1485281339,-0.21
1896,0.468503937,1533711001,-0.15
1897,0.673228346,1606310640,-0.11
1898,1.043307086,1694277167,-0.28
1899,1.338582676,1850905966,-0.16
1900,1.125984251,1952224654,-0.09
1901,1.110236219,2016760928,-0.15
1902,1.291338581,2067797613,-0.27
1903,1.606299211,2256077250,-0.35
1904,1.2007874,2281857535,-0.44
1905,0.984251968,2429631367,-0.28
1906,1.251968503,2551869513,-0.23
1907,1.196850392,2885281242,-0.4
1908,1.098425196,2776431591,-0.43
1909,1.27559055,2887083061,-0.47
1910,1.271653542,3027588864,-0.42
1911,1.598425195,3082462274,-0.44
1912,1.476377951,3228332151,-0.35
1913,1.547244093,3492411249,-0.34
1914,1.795275589,3168341359,-0.16
1915,2.10629921,3125088543,-0.11
1916,2.031496061,3373154069,-0.34
1917,1.854330707,3527725678,-0.4
1918,1.791338581,3479185579,-0.26
1919,1.854330707,3014874203,-0.22
1920,1.905511809,3507597636,-0.27
1921,1.988188974,3076038222,-0.21
1922,1.952755904,3226445037,-0.28
1923,1.999999998,3661080742,-0.24
1924,1.712598423,3672399351,-0.28
1925,1.791338581,3712867713,-0.21
1926,2.047244092,3645190242,-0.1
1927,2.003937006,3981432883,-0.21
1928,1.850393699,3962552527,-0.21
1929,1.905511809,4255150726,-0.36
1930,2.062992124,3923058343,-0.15
1931,2.047244092,3505272053,-0.09
1932,2.271653541,3159133411,-0.17
1933,2.440944879,3326453782,-0.29
1934,2.228346454,3617657544,-0.14
1935,2.448818895,3796088336,-0.2
1936,2.295275588,4170573685,-0.15
1937,2.519685037,4458901333,-0.03
1938,2.622047241,4195242758,-0.03
1939,2.826771651,4438143987,-0.03
1940,2.618110234,4849926545,0.08
1941,3.098425194,4959186226,0.12
1942,3.098425194,4939724859,0.09
1943,3.098425194,5023250640,0.13
1944,2.84645669,5105436673,0.25
1945,2.95669291,4244738093,0.12
1946,3.251968501,4633477283,-0.04
1947,3.374015745,5130185429,-0.05
1948,3.562992122,5401115478,-0.09
1949,3.51181102,5243102933,-0.09
1950,3.598425193,6003238189,-0.18
1951,3.972440941,6379755941,-0.07
1952,3.870078736,6465694232,0.01
1953,4.043307082,6647727815,0.08
1954,3.929133854,6789936494,-0.13
1955,3.964566925,7443207067,-0.15
1956,3.763779524,7924210548,-0.2
1957,4.291338578,8185523970,0.04
1958,4.346456688,8417600054,0.07
1959,4.358267712,8856188671,0.03
1960,4.503937003,9386933671,-0.02
1961,4.748031491,9417462637,0.05
1962,4.543307082,9750056664,0.03
1963,4.480314956,10271524394,0.06
1964,4.169291334,10828857574,-0.2
1965,4.610236216,11317232919,-0.1
1966,4.397637791,11865861396,-0.05
1967,4.452755901,12243045540,-0.02
1968,4.484251964,12909912521,-0.07
1969,4.751968499,13766570654,0.07
1970,4.67716535,14897567094,0.02
1971,4.881889759,15498266676,-0.09
1972,5.240157475,16221152268,0.01
1973,5.003937003,17078792097,0.15
1974,5.472440939,17009594414,-0.07
1975,5.409448813,17046497217,-0.02
1976,5.370078735,17983972847,-0.11
1977,5.303149601,18494530823,0.18
1978,5.555118105,19067767178,0.07
1979,5.362204719,19610017729,0.17
1980,5.598425191,19492613515,0.27
1981,6.086614167,19026910179,0.33
1982,5.858267711,18875760275,0.13
1983,6.188976372,18998031557,0.3
1984,6.153543301,19656716874,0.15
1985,5.74803149,20317483523,0.12
1986,5.771653537,20619623658,0.19
1987,5.795275585,21266194534,0.33
1988,5.980314955,22101399490,0.41
1989,6.157480309,22406832518,0.29
1990,6.232283458,22749574360,0.44
1991,6.334645663,23238102148,0.43
1992,6.35826771,22569624280,0.23
1993,6.291338576,22803495349,0.24
1994,6.499999993,22964583359,0.32
1995,6.618110229,23453944453,0.46
1996,6.787401568,24154961206,0.35
1997,7.066929127,24300550431,0.48
1998,6.665354324,24206271270,0.64
1999,7.011811016,24518962288,0.42
2000,7.062992119,25234207250,0.42
2001,7.287401567,25451054498,0.55
2002,7.381889756,26039191477,0.63
2003,7.759842512,27366723291,0.62
2004,7.740157472,28627533033,0.55
2005,7.74409448,29602777196,0.69
2006,7.917322827,30583530081,0.63
2007,7.996062984,31493741589,0.66
2008,8.350393692,32069444008,0.54
2009,8.586614164,31607042410,0.64
2010,8.901574794,33343300453,0.71
2011,8.96456692,34468451046,0.6
2012,9.326771644,34974075146,0.63
2013,8.980314951,35283025443,0.65
2014,NA,35534442952,0.74
